,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,lTUNj8Q4Yv8OB1vD7YZKOA,el-jalapeno-taqueria-new-york-2,El Jalapeno taqueria,https://s3-media3.fl.yelpcdn.com/bphoto/4z9kgdbWwAjb1BoSEt4pcA/o.jpg,False,https://www.yelp.com/biz/el-jalapeno-taqueria-new-york-2?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,12,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 40.733196172640056, 'longitude': -74.002585065464}",['delivery'],$,"{'address1': '204 W 4th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['204 W 4th St', 'New York, NY 10014']}",+13476970081,(347) 697-0081,3519.6016397800163
1,tcAUSOnV9ZWR0y-Tv25h_w,raiz-modern-mexican-new-york-2,Raiz Modern Mexican ,https://s3-media2.fl.yelpcdn.com/bphoto/eQF90DVtfpBZgRBULQAp4Q/o.jpg,False,https://www.yelp.com/biz/raiz-modern-mexican-new-york-2?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,74,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'tacos', 'title': 'Tacos'}]",5.0,"{'latitude': 40.72708, 'longitude': -73.98546}","['delivery', 'pickup']",$$,"{'address1': '120 1st Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['120 1st Ave', 'New York, NY 10009']}",+16468632233,(646) 863-2233,2290.4806240837456
2,xYvtCHVdzTpgpZjrZaCmCQ,casa-nono-brooklyn,Casa Nono,https://s3-media2.fl.yelpcdn.com/bphoto/z7BIHo6l7twJ14SRrbzmNw/o.jpg,False,https://www.yelp.com/biz/casa-nono-brooklyn?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,27,"[{'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 40.69366, 'longitude': -73.96517}","['delivery', 'pickup']",,"{'address1': '499 Myrtle Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['499 Myrtle Ave', 'Brooklyn, NY 11205']}",+16467509156,(646) 750-9156,1891.4076417294757
3,MwyEUg5EXuqTf1mjKU08ng,xolo-brooklyn,Xolo,https://s3-media4.fl.yelpcdn.com/bphoto/F3PPEJDTfdABbK_RoMGbUA/o.jpg,False,https://www.yelp.com/biz/xolo-brooklyn?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,24,"[{'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 40.71153, 'longitude': -73.96761}",[],,"{'address1': '29 Dunham Pl', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['29 Dunham Pl', 'Brooklyn, NY 11249']}",+19292980032,(929) 298-0032,1110.990732750104
4,nzsInryiJhLei5cwThIrZA,viva-birria-new-york,Viva Birria,https://s3-media4.fl.yelpcdn.com/bphoto/v1zX7ReKYt8BGuUH1-APCQ/o.jpg,False,https://www.yelp.com/biz/viva-birria-new-york?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,15,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]",4.5,"{'latitude': 40.72091, 'longitude': -73.98805}","['delivery', 'pickup']",,"{'address1': '153 Ludlow St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['153 Ludlow St', 'New York, NY 10002']}",+19179333397,(917) 933-3397,1730.9875939245392
5,LWHHNai3yu6ovrf4Bcepjg,birria-landia-williamsburg-brooklyn,Birria Landia Williamsburg,https://s3-media2.fl.yelpcdn.com/bphoto/5OTMaxk9XpdQFQaCnjGVPg/o.jpg,False,https://www.yelp.com/biz/birria-landia-williamsburg-brooklyn?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,220,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 40.71408416213422, 'longitude': -73.95199951416068}",[],$,"{'address1': '495 Metropolian Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['495 Metropolian Ave', 'Brooklyn, NY 11211']}",+13478398706,(347) 839-8706,2423.9768339436387
6,SULHf6nGQ8sK0UpG1XU30w,los-tacos-no-1-new-york-3,Los Tacos No.1,https://s3-media4.fl.yelpcdn.com/bphoto/5wEe4FCwda16knmBHSsX0Q/o.jpg,False,https://www.yelp.com/biz/los-tacos-no-1-new-york-3?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,2674,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 40.7575067, 'longitude': -73.9877717}",['delivery'],$,"{'address1': '229 W 43rd St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['229 W 43rd St', 'New York, NY 10036']}",+12125744696,(212) 574-4696,5664.931997000446
7,L3REPLCvQpMapYPd_fkS-A,los-mariscos-new-york,Los Mariscos,https://s3-media1.fl.yelpcdn.com/bphoto/miAqlvuZ-SEdViMIAbHkeQ/o.jpg,False,https://www.yelp.com/biz/los-mariscos-new-york?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,756,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.74207, 'longitude': -74.00565}","['delivery', 'pickup']",$$,"{'address1': '409 W 15th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['409 W 15th St', 'New York, NY 10011']}",+12129204986,(212) 920-4986,4494.385905768353
8,XPbcjRWxumT4ZQr-7uqOAw,los-tacos-no-1-new-york-10,Los Tacos No.1,https://s3-media1.fl.yelpcdn.com/bphoto/4abEK0VBrLTkP9hUWAY66g/o.jpg,False,https://www.yelp.com/biz/los-tacos-no-1-new-york-10?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,106,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 40.726157, 'longitude': -73.9946634}",[],$,"{'address1': '340 Lafayette St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['340 Lafayette St', 'New York, NY 10012']}",,,2507.388252158186
9,ND2PgVHYAF4IdaV6Zse5hQ,taqueria-al-pastor-brooklyn-2,Taqueria al Pastor,https://s3-media3.fl.yelpcdn.com/bphoto/sGDs19U-EYlFxSVQvJE7vg/o.jpg,False,https://www.yelp.com/biz/taqueria-al-pastor-brooklyn-2?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,160,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 40.703326, 'longitude': -73.918029}","['delivery', 'pickup']",$,"{'address1': '128 Wyckoff Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['128 Wyckoff Ave', 'Brooklyn, NY 11237']}",+17182697538,(718) 269-7538,5171.224598117375
