,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
0,YRR26iMYhL13VMvflDoY1g,dough-daddys-pizza-westmont,Dough Daddy's Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/gFl56aEtvbF8pOBvEMSN4Q/o.jpg,False,https://www.yelp.com/biz/dough-daddys-pizza-westmont?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,25,"[{'alias': 'pizza', 'title': 'Pizza'}]",5.0,"{'latitude': 41.8121061, 'longitude': -87.9746516}",[],"{'address1': '649 N Cass Ave', 'address2': None, 'address3': None, 'city': 'Westmont', 'zip_code': '60559', 'country': 'US', 'state': 'IL', 'display_address': ['649 N Cass Ave', 'Westmont, IL 60559']}",+16308282113,(630) 828-2113,20284.250301060078,
1,LP8GwlbgKrdrfJXLydtoPQ,pizza-750-willow-springs,Pizza 750,https://s3-media1.fl.yelpcdn.com/bphoto/N62PZKWGqynop1OOVQvS5w/o.jpg,False,https://www.yelp.com/biz/pizza-750-willow-springs?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,22,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'wraps', 'title': 'Wraps'}]",5.0,"{'latitude': 41.73244111463834, 'longitude': -87.87837549999999}","['pickup', 'delivery']","{'address1': '501 Willow Blvd', 'address2': '', 'address3': None, 'city': 'Willow Springs', 'zip_code': '60480', 'country': 'US', 'state': 'IL', 'display_address': ['501 Willow Blvd', 'Willow Springs, IL 60480']}",+17083305541,(708) 330-5541,16468.784238401004,$$
2,7fwbPYco9QB3fKdDEHNTlA,the-slice-spot-west-chicago,The Slice Spot,https://s3-media3.fl.yelpcdn.com/bphoto/coWa-lR6tX_Loqf3fLPBJg/o.jpg,False,https://www.yelp.com/biz/the-slice-spot-west-chicago?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,75,"[{'alias': 'pizza', 'title': 'Pizza'}]",5.0,"{'latitude': 41.85962273658084, 'longitude': -88.18892172963133}",['delivery'],"{'address1': '960 Roosevelt Rd', 'address2': '', 'address3': None, 'city': 'West Chicago', 'zip_code': '60185', 'country': 'US', 'state': 'IL', 'display_address': ['960 Roosevelt Rd', 'West Chicago, IL 60185']}",+16304730322,(630) 473-0322,38028.81415783003,
3,EKpIxSRTV6CB9Oa-PP_bsA,zimis-pizza-and-grill-chicago,Zimi's Pizza and Grill,https://s3-media2.fl.yelpcdn.com/bphoto/eNgt53nCAT9q1G6Yx3g5zQ/o.jpg,False,https://www.yelp.com/biz/zimis-pizza-and-grill-chicago?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,31,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'wraps', 'title': 'Wraps'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",5.0,"{'latitude': 42.0084361792121, 'longitude': -87.69051192532434}","['pickup', 'delivery']","{'address1': '6954 N Western Ave', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60645', 'country': 'US', 'state': 'IL', 'display_address': ['6954 N Western Ave', 'Chicago, IL 60645']}",+17738560702,(773) 856-0702,19907.353489761852,$$
4,b04EoiyFImaaSL7tqv3L3Q,milly-s-pizza-in-the-pan-chicago,Milly’s Pizza In The Pan,https://s3-media2.fl.yelpcdn.com/bphoto/CewjmEsvJxTQNCK5MgzULw/o.jpg,False,https://www.yelp.com/biz/milly-s-pizza-in-the-pan-chicago?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,84,"[{'alias': 'pizza', 'title': 'Pizza'}]",5.0,"{'latitude': 41.9731313, 'longitude': -87.6554421}",['delivery'],"{'address1': '1005 W Argyle St', 'address2': '', 'address3': '', 'city': 'Chicago', 'zip_code': '60640', 'country': 'US', 'state': 'IL', 'display_address': ['1005 W Argyle St', 'Chicago, IL 60640']}",+12246564732,(224) 656-4732,16903.06158490647,$$
5,Mud-L2vMAtmvWpjo3tDvaA,zazas-pizzeria-chicago,Zazas Pizzeria,https://s3-media4.fl.yelpcdn.com/bphoto/TRI3fRkylCVPSxSLbTN_UA/o.jpg,False,https://www.yelp.com/biz/zazas-pizzeria-chicago?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,178,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 41.93742, 'longitude': -87.6483}",['delivery'],"{'address1': '3037 N Clark St', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60657', 'country': 'US', 'state': 'IL', 'display_address': ['3037 N Clark St', 'Chicago, IL 60657']}",+17736616389,(773) 661-6389,13583.140626358057,
6,4pe2zEgfE1NfWzQxLxxRVw,freddys-pizza-cicero,Freddy's Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/W10_kiKPu7NWX3E4p0v3Tg/o.jpg,False,https://www.yelp.com/biz/freddys-pizza-cicero?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,765,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'gelato', 'title': 'Gelato'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 41.85799, 'longitude': -87.776713}",[],"{'address1': '1600 S 61st Ave', 'address2': None, 'address3': '', 'city': 'Cicero', 'zip_code': '60804', 'country': 'US', 'state': 'IL', 'display_address': ['1600 S 61st Ave', 'Cicero, IL 60804']}",+17088639289,(708) 863-9289,4742.25367743686,$$
7,zGd8pahz1B1AyShe1t-lvQ,stix-n-brix-wood-fired-pizza-chicago,Stix n Brix Wood Fired Pizza,https://s3-media1.fl.yelpcdn.com/bphoto/m1wMSVQQ5hzTbNj7OMQKGg/o.jpg,False,https://www.yelp.com/biz/stix-n-brix-wood-fired-pizza-chicago?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,153,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 41.8347077589943, 'longitude': -87.6323673999492}","['pickup', 'delivery']","{'address1': '218 W 33rd St', 'address2': None, 'address3': '', 'city': 'Chicago', 'zip_code': '60616', 'country': 'US', 'state': 'IL', 'display_address': ['218 W 33rd St', 'Chicago, IL 60616']}",+13122650219,(312) 265-0219,8204.01206282765,$$
8,p3spsdmRpkgQYWTYKWSpcw,waldo-cooneys-pizza-berwyn-6,Waldo Cooney's Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/wxlxL-JmGT_cmUA1bVmtoQ/o.jpg,False,https://www.yelp.com/biz/waldo-cooneys-pizza-berwyn-6?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,119,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 41.8504033, 'longitude': -87.7924822}","['pickup', 'delivery']","{'address1': '6733 W Cermak Rd', 'address2': '', 'address3': '', 'city': 'Berwyn', 'zip_code': '60402', 'country': 'US', 'state': 'IL', 'display_address': ['6733 W Cermak Rd', 'Berwyn, IL 60402']}",+17087497997,(708) 749-7997,5464.095680980707,$$
9,AyUfTvlbSMTmhMWZ7nmjwQ,pizza-castle-hickory-hills,Pizza Castle,https://s3-media2.fl.yelpcdn.com/bphoto/jzrwBOxI_R4hrA4S0mFiLQ/o.jpg,False,https://www.yelp.com/biz/pizza-castle-hickory-hills?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,111,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 41.71806750623321, 'longitude': -87.81124410553284}",['delivery'],"{'address1': '7737 W 95th St', 'address2': None, 'address3': '', 'city': 'Hickory Hills', 'zip_code': '60457', 'country': 'US', 'state': 'IL', 'display_address': ['7737 W 95th St', 'Hickory Hills, IL 60457']}",+17089305600,(708) 930-5600,14297.42580523372,$
